seed,transfer,prevalence,budget,noise,level,success
9205,0.75,0.25,40,0.4,capability,0.58
9205,0.75,0.25,40,0.4,family,0.5866666666666667
9205,0.75,0.25,40,0.4,failure,0.6
9206,0.75,0.25,40,0.4,global,0.5233333333333333
9206,0.75,0.25,40,0.4,capability,0.53
9206,0.75,0.25,40,0.4,family,0.5133333333333333
9206,0.75,0.25,40,0.4,failure,0.49
9201,0.75,0.5,40,0.4,global,0.45666666666666667
9201,0.75,0.5,40,0.4,capability,0.57
9201,0.75,0.5,40,0.4,family,0.5433333333333333
9201,0.75,0.5,40,0.4,failure,0.65
9202,0.75,0.5,40,0.4,global,0.45
9202,0.75,0.5,40,0.4,capability,0.54
9202,0.75,0.5,40,0.4,family,0.5433333333333333
9202,0.75,0.5,40,0.4,failure,0.6033333333333334
9203,0.75,0.5,40,0.4,global,0.41333333333333333
9203,0.75,0.5,40,0.4,capability,0.65
9203,0.75,0.5,40,0.4,family,0.5833333333333334
9203,0.75,0.5,40,0.4,failure,0.62
9204,0.75,0.5,40,0.4,global,0.5133333333333333
9204,0.75,0.5,40,0.4,capability,0.5333333333333333
9204,0.75,0.5,40,0.4,family,0.6633333333333333
9204,0.75,0.5,40,0.4,failure,0.63
9205,0.75,0.5,40,0.4,global,0.5066666666666667
9205,0.75,0.5,40,0.4,capability,0.56
9205,0.75,0.5,40,0.4,family,0.5533333333333333
9205,0.75,0.5,40,0.4,failure,0.6133333333333333
9206,0.75,0.5,40,0.4,global,0.5466666666666666
9206,0.75,0.5,40,0.4,capability,0.6266666666666667
9206,0.75,0.5,40,0.4,family,0.6433333333333333
9206,0.75,0.5,40,0.4,failure,0.6733333333333333
9201,0.75,0.75,40,0.4,global,0.44333333333333336
9201,0.75,0.75,40,0.4,capability,0.53
9201,0.75,0.75,40,0.4,family,0.56
9201,0.75,0.75,40,0.4,failure,0.7266666666666667
9202,0.75,0.75,40,0.4,global,0.48333333333333334
9202,0.75,0.75,40,0.4,capability,0.5933333333333334
9202,0.75,0.75,40,0.4,family,0.6
9202,0.75,0.75,40,0.4,failure,0.7266666666666667
9203,0.75,0.75,40,0.4,global,0.36
9203,0.75,0.75,40,0.4,capability,0.63
9203,0.75,0.75,40,0.4,family,0.5833333333333334
9203,0.75,0.75,40,0.4,failure,0.6433333333333333
9204,0.75,0.75,40,0.4,global,0.5
9204,0.75,0.75,40,0.4,capability,0.5633333333333334
9204,0.75,0.75,40,0.4,family,0.7166666666666667
9204,0.75,0.75,40,0.4,failure,0.64
9205,0.75,0.75,40,0.4,global,0.4766666666666667
9205,0.75,0.75,40,0.4,capability,0.5533333333333333
9205,0.75,0.75,40,0.4,family,0.5566666666666666
9205,0.75,0.75,40,0.4,failure,0.7166666666666667
9206,0.75,0.75,40,0.4,global,0.49
9206,0.75,0.75,40,0.4,capability,0.58
9206,0.75,0.75,40,0.4,family,0.6466666666666666
9206,0.75,0.75,40,0.4,failure,0.7233333333333334
9201,0.75,1.0,40,0.4,global,0.44333333333333336
9201,0.75,1.0,40,0.4,capability,0.56
9201,0.75,1.0,40,0.4,family,0.6133333333333333
9201,0.75,1.0,40,0.4,failure,0.76
9202,0.75,1.0,40,0.4,global,0.47333333333333333
9202,0.75,1.0,40,0.4,capability,0.6466666666666666
9202,0.75,1.0,40,0.4,family,0.6966666666666667
9202,0.75,1.0,40,0.4,failure,0.8066666666666666
9203,0.75,1.0,40,0.4,global,0.2866666666666667
9203,0.75,1.0,40,0.4,capability,0.6166666666666667
9203,0.75,1.0,40,0.4,family,0.57
9203,0.75,1.0,40,0.4,failure,0.7433333333333333
9204,0.75,1.0,40,0.4,global,0.52
9204,0.75,1.0,40,0.4,capability,0.5566666666666666
9204,0.75,1.0,40,0.4,family,0.78
9204,0.75,1.0,40,0.4,failure,0.7033333333333334
9205,0.75,1.0,40,0.4,global,0.5433333333333333
9205,0.75,1.0,40,0.4,capability,0.59
9205,0.75,1.0,40,0.4,family,0.5933333333333334
9205,0.75,1.0,40,0.4,failure,0.8133333333333334
9206,0.75,1.0,40,0.4,global,0.45
9206,0.75,1.0,40,0.4,capability,0.5866666666666667
9206,0.75,1.0,40,0.4,family,0.65
9206,0.75,1.0,40,0.4,failure,0.7833333333333333
9201,1.0,0.25,40,0.4,global,0.5266666666666666
9201,1.0,0.25,40,0.4,capability,0.57
9201,1.0,0.25,40,0.4,family,0.5333333333333333
9201,1.0,0.25,40,0.4,failure,0.49333333333333335
9202,1.0,0.25,40,0.4,global,0.4666666666666667
9202,1.0,0.25,40,0.4,capability,0.5733333333333334
9202,1.0,0.25,40,0.4,family,0.5
9202,1.0,0.25,40,0.4,failure,0.49333333333333335
9203,1.0,0.25,40,0.4,global,0.49666666666666665
9203,1.0,0.25,40,0.4,capability,0.5766666666666667
9203,1.0,0.25,40,0.4,family,0.5566666666666666
9203,1.0,0.25,40,0.4,failure,0.5833333333333334
9204,1.0,0.25,40,0.4,global,0.5433333333333333
9204,1.0,0.25,40,0.4,capability,0.5466666666666666
9204,1.0,0.25,40,0.4,family,0.57
9204,1.0,0.25,40,0.4,failure,0.5933333333333334
9205,1.0,0.25,40,0.4,global,0.6
9205,1.0,0.25,40,0.4,capability,0.6233333333333333
9205,1.0,0.25,40,0.4,family,0.6133333333333333
9205,1.0,0.25,40,0.4,failure,0.6366666666666667
9206,1.0,0.25,40,0.4,global,0.52
9206,1.0,0.25,40,0.4,capability,0.5533333333333333
9206,1.0,0.25,40,0.4,family,0.5066666666666667
9206,1.0,0.25,40,0.4,failure,0.5133333333333333
9201,1.0,0.5,40,0.4,global,0.5666666666666667
9201,1.0,0.5,40,0.4,capability,0.66
9201,1.0,0.5,40,0.4,family,0.65
9201,1.0,0.5,40,0.4,failure,0.5766666666666667
9202,1.0,0.5,40,0.4,global,0.49
9202,1.0,0.5,40,0.4,capability,0.6
9202,1.0,0.5,40,0.4,family,0.5433333333333333
9202,1.0,0.5,40,0.4,failure,0.5866666666666667
9203,1.0,0.5,40,0.4,global,0.5166666666666667
9203,1.0,0.5,40,0.4,capability,0.6733333333333333
9203,1.0,0.5,40,0.4,family,0.6366666666666667
9203,1.0,0.5,40,0.4,failure,0.67
9204,1.0,0.5,40,0.4,global,0.53
9204,1.0,0.5,40,0.4,capability,0.5833333333333334
9204,1.0,0.5,40,0.4,family,0.6
9204,1.0,0.5,40,0.4,failure,0.7133333333333334
9205,1.0,0.5,40,0.4,global,0.5566666666666666
9205,1.0,0.5,40,0.4,capability,0.5933333333333334
9205,1.0,0.5,40,0.4,family,0.6
9205,1.0,0.5,40,0.4,failure,0.6666666666666666
9206,1.0,0.5,40,0.4,global,0.5566666666666666
9206,1.0,0.5,40,0.4,capability,0.6466666666666666
9206,1.0,0.5,40,0.4,family,0.59
9206,1.0,0.5,40,0.4,failure,0.6966666666666667
9201,1.0,0.75,40,0.4,global,0.54
9201,1.0,0.75,40,0.4,capability,0.69
9201,1.0,0.75,40,0.4,family,0.68
9201,1.0,0.75,40,0.4,failure,0.59
9202,1.0,0.75,40,0.4,global,0.48
9202,1.0,0.75,40,0.4,capability,0.6466666666666666
9202,1.0,0.75,40,0.4,family,0.5966666666666667
9202,1.0,0.75,40,0.4,failure,0.6666666666666666
9203,1.0,0.75,40,0.4,global,0.49666666666666665
9203,1.0,0.75,40,0.4,capability,0.64
9203,1.0,0.75,40,0.4,family,0.6333333333333333
9203,1.0,0.75,40,0.4,failure,0.7
9204,1.0,0.75,40,0.4,global,0.52
9204,1.0,0.75,40,0.4,capability,0.5766666666666667
9204,1.0,0.75,40,0.4,family,0.6633333333333333
9204,1.0,0.75,40,0.4,failure,0.7366666666666667
9205,1.0,0.75,40,0.4,global,0.54
9205,1.0,0.75,40,0.4,capability,0.6233333333333333
9205,1.0,0.75,40,0.4,family,0.6966666666666667
9205,1.0,0.75,40,0.4,failure,0.78
9206,1.0,0.75,40,0.4,global,0.51
9206,1.0,0.75,40,0.4,capability,0.6233333333333333
9206,1.0,0.75,40,0.4,family,0.5666666666666667
9206,1.0,0.75,40,0.4,failure,0.74
9201,1.0,1.0,40,0.4,global,0.5566666666666666
9201,1.0,1.0,40,0.4,capability,0.6866666666666666
9201,1.0,1.0,40,0.4,family,0.7166666666666667
9201,1.0,1.0,40,0.4,failure,0.6366666666666667
9202,1.0,1.0,40,0.4,global,0.4766666666666667
9202,1.0,1.0,40,0.4,capability,0.71
9202,1.0,1.0,40,0.4,family,0.6866666666666666
9202,1.0,1.0,40,0.4,failure,0.7366666666666667
9203,1.0,1.0,40,0.4,global,0.4266666666666667
9203,1.0,1.0,40,0.4,capability,0.6833333333333333
9203,1.0,1.0,40,0.4,family,0.7066666666666667
9203,1.0,1.0,40,0.4,failure,0.79
9204,1.0,1.0,40,0.4,global,0.52
9204,1.0,1.0,40,0.4,capability,0.6233333333333333
9204,1.0,1.0,40,0.4,family,0.7033333333333334
9204,1.0,1.0,40,0.4,failure,0.8166666666666667
9205,1.0,1.0,40,0.4,global,0.5533333333333333
9205,1.0,1.0,40,0.4,capability,0.6666666666666666
9205,1.0,1.0,40,0.4,family,0.7466666666666667
9205,1.0,1.0,40,0.4,failure,0.8866666666666667
9206,1.0,1.0,40,0.4,global,0.5
9206,1.0,1.0,40,0.4,capability,0.62
9206,1.0,1.0,40,0.4,family,0.56
9206,1.0,1.0,40,0.4,failure,0.81
