noise,budget,transfer,prevalence,level,mean,std,count
0.2,80,0.25,0.5,capability,0.7144444444444445,0.04075218694427014,6
0.2,80,0.25,0.5,failure,0.65,0.03765338999051453,6
0.2,80,0.25,0.5,family,0.6733333333333333,0.029514591494904874,6
0.2,80,0.25,0.5,global,0.6511111111111111,0.03370899429375335,6
0.2,80,0.25,0.75,capability,0.7644444444444445,0.029338383403670003,6
0.2,80,0.25,0.75,failure,0.7466666666666667,0.015491933384829671,6
0.2,80,0.25,0.75,family,0.7522222222222222,0.013443985299781528,6
0.2,80,0.25,0.75,global,0.6694444444444444,0.05148534491232179,6
0.2,80,0.25,1.0,capability,0.8005555555555555,0.03957646139179573,6
0.2,80,0.25,1.0,failure,0.82,0.00966091783079297,6
0.2,80,0.25,1.0,family,0.8205555555555555,0.010628403594282777,6
0.2,80,0.25,1.0,global,0.6566666666666666,0.05633234713140698,6
0.2,80,0.5,0.25,capability,0.6977777777777777,0.029110262922333888,6
0.2,80,0.5,0.25,failure,0.5822222222222222,0.0188168561155703,6
0.2,80,0.5,0.25,family,0.5938888888888889,0.01730981310209993,6
0.2,80,0.5,0.25,global,0.6733333333333333,0.038180856168736954,6
0.2,80,0.5,0.5,capability,0.735,0.030749887081996784,6
0.2,80,0.5,0.5,failure,0.6472222222222223,0.023325395475191312,6
0.2,80,0.5,0.5,family,0.6699999999999999,0.02118699810942761,6
0.2,80,0.5,0.5,global,0.6627777777777778,0.05318381820176621,6
0.2,80,0.5,0.75,capability,0.7722222222222223,0.03942174620782388,6
0.2,80,0.5,0.75,failure,0.7466666666666667,0.014142135623730925,6
0.2,80,0.5,0.75,family,0.7577777777777778,0.021670939749573168,6
0.2,80,0.5,0.75,global,0.6894444444444444,0.06637993895972105,6
0.2,80,0.5,1.0,capability,0.8027777777777777,0.05693726241971819,6
0.2,80,0.5,1.0,failure,0.8211111111111111,0.012412657816683487,6
0.2,80,0.5,1.0,family,0.8222222222222223,0.013109227736669015,6
0.2,80,0.5,1.0,global,0.6711111111111111,0.08798147953257403,6
0.2,80,0.75,0.25,capability,0.6966666666666667,0.030840089349921017,6
0.2,80,0.75,0.25,failure,0.6122222222222222,0.018459164139817883,6
0.2,80,0.75,0.25,family,0.6255555555555555,0.024825315633366995,6
0.2,80,0.75,0.25,global,0.6833333333333332,0.028596814119369637,6
0.2,80,0.75,0.5,capability,0.7394444444444445,0.027277721203833604,6
0.2,80,0.75,0.5,failure,0.6716666666666667,0.02802776401277053,6
0.2,80,0.75,0.5,family,0.6888888888888888,0.02062001903939921,6
0.2,80,0.75,0.5,global,0.6538888888888889,0.017564695229878552,6
0.2,80,0.75,0.75,capability,0.7838888888888889,0.04062930888829812,6
0.2,80,0.75,0.75,failure,0.7583333333333333,0.01974841765813153,6
