seed,level,support_entropy,coverage,state_repair,heldout,external,target_success,all_skill_gain
9149,failure,0.23812059933563318,0.0392156862745098,0.6099427648448206,0.502,0.446,0.818,0.18926805587612988
9150,global,0.5420369802504044,0.11372549019607843,0.39569510325166996,0.746,0.664,0.714,0.3844206245648274
9150,capability,0.49658000745868597,0.08235294117647059,0.6128753473707734,0.664,0.576,0.816,0.320901853828178
9150,family,0.28542373934417625,0.047058823529411764,0.5835237890333811,0.57,0.462,0.802,0.2016770745442063
9150,failure,0.18303399788523925,0.03529411764705882,0.5472394032579927,0.508,0.428,0.798,0.15372031514476303
9151,global,0.559993040076361,0.12549019607843137,0.4657365887616484,0.732,0.712,0.784,0.3998824963522758
9151,capability,0.44721024749577515,0.06274509803921569,0.5685105813861926,0.602,0.592,0.81,0.2884152908227336
9151,family,0.22635902611398798,0.023529411764705882,0.555358118548688,0.486,0.466,0.792,0.1697113727929489
9151,failure,0.213202926473833,0.03529411764705882,0.5996977164535293,0.486,0.452,0.794,0.16775857675411282
9152,global,0.5672101451077913,0.12156862745098039,0.3833506048530189,0.732,0.666,0.73,0.382667485846767
9152,capability,0.4483083232384294,0.058823529411764705,0.4969917727198201,0.64,0.584,0.794,0.31027455723779246
9152,family,0.27268463116524916,0.043137254901960784,0.5544227704136033,0.536,0.466,0.794,0.18855553618815565
9152,failure,0.2540374075887329,0.03529411764705882,0.5907201478054552,0.54,0.476,0.798,0.18928042365220887
9153,global,0.5689274750142522,0.12156862745098039,0.4526555414523101,0.71,0.682,0.74,0.3842084532032416
9153,capability,0.45897381758627787,0.06274509803921569,0.6199855427612041,0.592,0.556,0.834,0.31113995301437836
9153,family,0.2510965337580047,0.03529411764705882,0.615280519405107,0.494,0.494,0.822,0.19170203468696886
9153,failure,0.21464457870809514,0.03137254901960784,0.535743851615991,0.476,0.474,0.824,0.16191792009266598
9154,global,0.6001316009805033,0.13333333333333333,0.4717376773910974,0.74,0.706,0.78,0.41467259145281105
9154,capability,0.4816183222179498,0.0784313725490196,0.5782144489852583,0.644,0.616,0.826,0.325544118232395
9154,family,0.27430669290863113,0.047058823529411764,0.5959759389060391,0.5,0.476,0.802,0.18656007944155117
9154,failure,0.22366597147475342,0.043137254901960784,0.6608303646311005,0.488,0.454,0.804,0.17592591317951792
9155,global,0.5964468987836605,0.1450980392156863,0.28138301134340404,0.72,0.684,0.652,0.40089265356795584
9155,capability,0.4749103655693678,0.07450980392156863,0.5150240872238068,0.634,0.598,0.854,0.3163094350640793
9155,family,0.25756067075227973,0.03137254901960784,0.5928944596669671,0.516,0.478,0.846,0.18679453848283745
9155,failure,0.18389705196627562,0.03529411764705882,0.5885892124879473,0.468,0.422,0.832,0.15863148682589454
9156,global,0.5794028025820884,0.12549019607843137,0.41051445762716343,0.722,0.6,0.68,0.3942405434394703
9156,capability,0.4709489289277561,0.07058823529411765,0.5678473782966091,0.646,0.542,0.814,0.3208644142584204
9156,family,0.2648508354461321,0.03529411764705882,0.6454166748797443,0.498,0.386,0.792,0.19111411960710387
9156,failure,0.19878017994021796,0.0392156862745098,0.6045561323928503,0.472,0.366,0.798,0.17214657541441036
9157,global,0.5782924442730599,0.12156862745098039,0.40943544706888635,0.72,0.662,0.732,0.3999405969804444
9157,capability,0.45936777850825367,0.06274509803921569,0.6410602570026696,0.64,0.576,0.866,0.32183412989167887
9157,family,0.2675178388140159,0.043137254901960784,0.6237940976059518,0.51,0.422,0.834,0.19267909359291457
9157,failure,0.17275293468232242,0.027450980392156862,0.6527277120042698,0.502,0.41,0.834,0.16380659092267824
9158,global,0.5843774543096634,0.12941176470588237,0.3885001364110354,0.762,0.706,0.702,0.3927494853790604
